S_DT,S_HJ,SN_HJ,S_CARE,S_RECOVER,SN_RECOVER,S_DEATH,SY_TOTAL,SY_KJ,SY_KH,T_DT,T_HJ,N_HJ,TY_CARE,RECOVER,DEATH,TY_TOTAL,TY_KJ,TY_KH,JGK_OVERSEAS_GS,JGK_OVERSEAS_GH,JGK_CONT_GS,JGK_CONT_GH,CHECKING,DAY_DEATH,ALL_DAY_DEATH
2023.05.11.00,6121046,4856,0,,,6451,,,,2023.05.11.00,31351686,20574,0,,34583,,,,,,,,0,3,12
2023.05.10.00,6116190,5621,0,,,6448,,,,2023.05.10.00,31331112,23521,0,,34571,,,,,,,,0,5,23
2023.05.09.00,6110569,5745,0,,,6443,,,,2023.05.09.00,31307591,21681,0,,34548,,,,,,,,0,5,14
2023.05.08.00,6104824,1642,0,,,6438,,,,2023.05.08.00,31285910,8164,0,,34534,,,,,,,,0,2,7
2023.05.07.00,6103182,3763,0,,,6436,,,,2023.05.07.00,31277746,14742,0,,34527,,,,,,,,0,2,6
2023.05.06.00,6099419,2385,0,,,6434,,,,2023.05.06.00,31263004,11801,0,,34521,,,,,,,,0,1,3
2023.05.05.00,6097034,4650,0,,,6433,,,,2023.05.05.00,31251203,18752,0,,34518,,,,,,,,0,1,6
2023.05.04.00,6092424,4927,0,,,6432,,,,2023.05.04.00,31232744,20146,0,,34512,,,,,,,,0,3,7
2023.05.03.00,6087497,5137,0,,,6429,,,,2023.05.03.00,31212598,20197,0,,34505,,,,,,,,0,1,8
2023.05.02.00,6082360,3963,0,,,6428,,,,2023.05.02.00,31192401,15741,0,,34497,,,,,,,,0,3,10
2023.05.01.00,6078397,1112,0,,,6425,,,,2023.05.01.00,31176660,5774,0,,34487,,,,,,,,0,2,8
2023.04.30.00,6077285,3342,0,,,6423,,,,2023.04.30.00,31163046,13614,0,,34479,,,,,,,,0,1,5
2023.04.29.00,6073943,3663,0,,,6422,,,,2023.04.29.00,31157272,14812,0,,34474,,,,,,,,0,0,3
2023.04.28.00,6070440,3596,0,,,6422,,,,2023.04.28.00,31142861,13791,0,,34471,,,,,,,,0,1,11
2023.04.27.00,6066844,3724,0,,,6421,,,,2023.04.27.00,31129070,14284,0,,34460,,,,,,,,0,3,11
2023.04.26.00,6063120,4217,0,,,6418,,,,2023.04.26.00,31114786,16383,0,,34449,,,,,,,,0,3,15
2023.04.25.00,6058903,4147,0,,,6415,,,,2023.04.25.00,31098403,14817,0,,34434,,,,,,,,0,0,7
2023.04.24.00,6054756,1021,0,,,6415,,,,2023.04.24.00,31083586,5027,0,,34427,,,,,,,,0,1,8
2023.04.23.00,6053735,2963,0,,,6414,,,,2023.04.23.00,31078559,11834,0,,34419,,,,,,,,0,0,6
2023.04.22.00,6050772,3531,0,,,6414,,,,2023.04.22.00,13793,13765,0,,34413,,,,,,,,0,2,5
2023.04.21.00,6047486,3482,0,,,6412,,,,2023.04.21.00,31053459,13596,0,,34408,,,,,,,,0,0,7
2023.04.20.00,6044004,3684,0,,,6412,,,,2023.04.20.00,31039863,14094,0,,34401,,,,,,,,0,2,9
2023.04.19.00,6040320,4253,0,,,6410,,,,2023.04.19.00,31025769,16508,0,,34392,,,,,,,,0,1,6
2023.04.18.00,6036067,4373,0,,,6409,,,,2023.04.18.00,31009261,15173,0,,34386,,,,,,,,0,2,10
2023.04.17.00,6031694,1057,0,,,6407,,,,2023.04.17.00,30994088,4946,0,,34376,,,,,,,,0,1,4
2023.04.16.00,6030637,2604,0,,,6406,,,,2023.04.16.00,30989142,10188,0,,34372,,,,,,,,0,1,4
2023.04.15.00,6028033,2921,0,,,6405,,,,2023.04.15.00,30978954,11682,0,,34368,,,,,,,,0,0,2
2023.04.14.00,6025266,3011,0,,,6405,,,,2023.04.14.00,30967692,11651,0,,34366,,,,,,,,0,0,5
2023.04.13.00,6022255,2817,0,,,6405,,,,2023.04.13.00,30956026,11596,0,,34361,,,,,,,,0,2,5
2023.04.12.00,6019438,3498,0,,,6403,,,,2023.04.12.00,30944430,13926,0,,34356,,,,,,,,0,3,14
2023.04.11.00,6015940,3488,0,,,6400,,,,2023.04.11.00,30930504,12444,0,,34342,,,,,,,,0,4,10
2023.04.10.00,6012452,828,0,,,6396,,,,2023.04.10.00,30918060,4005,0,,34332,,,,,,,,0,1,8
2023.04.09.00,6011624,2285,0,,,6395,,,,2023.04.09.00,30914055,9553,0,,34324,,,,,,,,0,0,2
2023.04.08.00,6009339,2589,0,,,6395,,,,2023.04.08.00,30904502,10372,0,,34322,,,,,,,,0,0,4
2023.04.07.00,6006888,2667,0,,,6395,,,,2023.04.07.00,30894559,10735,0,,34318,,,,,,,,0,2,9
2023.04.06.00,6004221,2887,0,,,6393,,,,2023.04.06.00,30883824,12072,0,,34309,,,,,,,,0,3,13
2023.04.05.00,6001334,3353,0,,,6390,,,,2023.04.05.00,30871740,14465,0,,34296,,,,,,,,0,3,7
2023.04.04.00,5997981,3588,0,,,6387,,,,2023.04.04.00,30857275,13375,0,,34289,,,,,,,,0,3,8
2023.04.03.00,5994393,842,0,,,6384,,,,2023.04.03.00,30843900,4349,0,,34281,,,,,,,,0,1,7
2023.04.02.00,5993551,2401,0,,,6383,,,,2023.04.02.00,30829827,10523,0,,34270,,,,,,,,0,0,5
2023.04.01.00,5991150,2523,0,,,6383,,,,2023.04.01.00,30829827,10523,0,,34270,,,,,,,,0,1,5
2023.03.31.00,5989042,2482,0,,,6382,,,,2023.03.31.00,30820130,10368,0,,34265,,,,,,,,0,3,10
2023.03.30.00,5986560,2735,0,,,6379,,,,2023.03.30.00,30809762,11039,0,,34255,,,,,,,,0,2,10
2023.03.29.00,5983825,2971,0,,,6377,,,,2023.03.29.00,30798723,13134,0,,34245,,,,,,,,0,1,14
2023.03.28.00,5980854,3116,0,,,6376,,,,2023.03.28.00,30785589,12129,0,,34231,,,,,,,,0,0,8
2023.03.27.00,5977738,773,0,,,6376,,,,2023.03.27.00,30773460,4204,0,,34223,,,,,,,,0,1,3
2023.03.25.00,5974758,2268,0,,,6373,,,,2023.03.25.00,30759895,10448,0,,34217,,,,,,,,0,1,6
2023.03.24.00,5972545,2193,0,,,6372,,,,2023.03.24.00,30749740,10283,0,,34211,,,,,,,,0,1,10
